s,e
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2013-08-02',2014-02-06'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-02-07',2014-08-07'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2014-08-08',2015-02-05'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-02-06',2015-08-06'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2015-08-07',2016-02-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-02-05',2016-08-04'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
2016-08-05',2017-02-02'
